ticker	yyyymmdd	exc_pref	exc_pcei	exc_pflr	exc_popn	exc_pcls	exc_phgh	exc_plow	exc_pbase	exc_pvlm	exc_ptrn	exc_capi
AAA	20121024	13300	14200	12400	13500	13100	13500	13000	13100	137600	1814110	129690000000
ACB	20121024	15700	16700	14700	15700	15800	15900	15500	15800	659900	10386350	14815604700000
ADC	20121024	9600	10200	9000	9800	9800	9800	9800	9800	100	980	9800000000
ALT	20121024	13500	14400	12600	14400	14400	14400	14400	14400	100	1440	70853731200
ALV	20121024	3100	3300	2900	3000	3300	3300	3000	3300	23500	76730	5692493400
AMC	20121024	18000	19200	16800	0	0	0	0	18000	0	0	51300000000
AME	20121024	2000	2100	1900	2000	1900	2000	1900	1900	1300	2480	22800000000
AMV	20121024	2800	2900	2700	0	0	0	0	2800	0	0	5924100000
APG	20121024	2100	2200	2000	2100	2100	2200	2000	2100	13300	26950	28410690000
API	20121024	3100	3300	2900	3100	3000	3100	2900	3000	30200	89620	79200000000
APP	20121024	8400	8900	7900	8800	8400	8800	8400	8400	300	2560	33297264000
APS	20121024	3300	3500	3100	3300	3200	3300	3200	3200	382600	1227190	124800000000
ARM	20121024	14500	15500	13500	0	0	0	0	14500	0	0	37594730000
ASA	20121024	13800	14700	12900	13800	13800	13800	13700	13800	85600	1180200	41400000000
AVS	20121024	3100	3300	2900	3100	3100	3100	3100	3100	78000	241800	111600000000
B82	20121024	10000	10700	9300	0	0	0	0	10000	0	0	30000000000
BBS	20121024	7800	8300	7300	8100	8100	8100	7800	8100	31600	252400	32400000000
BCC	20121024	4000	4200	3800	4000	4100	4100	4000	4000	49500	198120	382645588000
BDB	20121024	7200	7700	6700	0	0	0	0	7200	0	0	8110612800
BED	20121024	9800	10400	9200	9900	9900	9900	9900	9900	6000	59400	29700000000
BHC	20121024	2000	2100	1900	1900	1900	1900	1900	1900	100	190	8550000000
BHT	20121024	5700	6000	5400	0	0	0	0	5700	0	0	26220000000
BHV	20121024	8900	9500	8300	0	0	0	0	8900	0	0	8650915700
BKC	20121024	6200	6600	5800	6500	6300	6500	5800	6100	55100	331920	33386520000
BLF	20121024	3000	3200	2800	2800	3000	3000	2800	3000	20200	56600	15000000000
BPC	20121024	8000	8500	7500	0	0	0	0	8000	0	0	30400000000
BSC	20121024	8900	9500	8300	0	0	0	0	8900	0	0	28041648300
BST	20121024	7600	8100	7100	7100	7100	7100	7100	7100	200	1420	7810000000
BTH	20121024	5200	5500	4900	5200	5200	5200	5200	5200	400	2080	18200000000
BTS	20121024	4200	4400	4000	4100	4100	4100	4100	4100	300	1230	447130387200
BVG	20121024	3700	3900	3500	3900	3700	3900	3700	3700	1600	6220	36078507600
BVS	20121024	9500	10100	8900	9700	9400	9700	9300	9400	297100	2795840	678856127800
BXH	20121024	4000	4200	3800	0	0	0	0	4000	0	0	12048160000
C92	20121024	6700	7100	6300	6700	6400	6700	6400	6400	1300	8650	15360000000
CAN	20121024	19500	20800	18200	19500	19600	19600	19500	19600	2000	39100	98000000000
CAP	20121024	24500	26200	22800	24500	24500	24500	24500	24500	500	12250	41440525000
CCM	20121024	11100	11800	10400	10400	10400	10400	10400	10400	1300	13520	47839958400
CIC	20121024	2000	2100	1900	1900	2000	2000	1900	2000	31800	61230	9270080000
CID	20121024	6100	6500	5700	0	0	0	0	6100	0	0	6078650000
CJC	20121024	16000	17100	14900	0	0	0	0	16000	0	0	32000000000
CKV	20121024	7400	7900	6900	0	0	0	0	7400	0	0	29370600000
CMC	20121024	3700	3900	3500	3600	3900	3900	3600	3900	200	750	17788095000
CMI	20121024	8400	8900	7900	8500	8100	8500	8000	8100	237700	1929830	60150600000
CMS	20121024	9900	10500	9300	10000	10000	10000	9900	10000	3100	30740	50000000000
CPC	20121024	11900	12700	11100	0	0	0	0	11900	0	0	48574610000
CSC	20121024	8000	8500	7500	7900	8000	8000	7700	8000	17500	137970	39667064000
CT6	20121024	7000	7400	6600	0	0	0	0	7000	0	0	42740313000
CTA	20121024	4300	4600	4000	4600	4500	4600	4400	4500	123100	563190	40896000000
CTB	20121024	14000	14900	13100	0	0	0	0	14000	0	0	38621520000
CTC	20121024	6200	6600	5800	6200	6200	6200	6200	6200	200	1240	54559541200
CTM	20121024	3000	3200	2800	3000	3000	3000	3000	3000	1400	4200	13199988000
