CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS
MKP	CTCP Hóa - Dược phẩm MEKOPHAR	Mekophar Chemical Pharmaceutical Jsc	HSX	Health Care	2010/05/17	10115932	2010/06/02	
MKV	CTCP Dược Thú y Cai Lậy	Cai Lay Veterinary Pharmaceutical Jsc	HNX	Health Care	2008/11/21	1123600	2008/11/21	
MMC	CTCP Khoáng sản Mangan	Manganese Mineral Jsc	HNX	Basic Materials	2008/07/28	3160000	2008/07/28	
MNC	CTCP Tập đoàn Mai Linh Bắc Trung Bộ	Mai Linh Corporation In Northern Central	HNX	Industrials	2010/12/16	7017130	2010/12/16	
MPC	CTCP Tập đoàn Thủy sản Minh Phú	Minh Phu Seafood Group Corporation	HSX	Consumer Goods	2006/12/27	70000000	2007/12/20	
MSN	CTCP Tập đoàn Ma San	Ma San Group Corporation	HSX	Consumer Goods	2009/10/30	687280123	2009/11/05	
MTC	CTCP Khách sạn Mỹ Trà	My Tra Hotel Joint Stock Company	HSX	Consumer Services	2012/08/10	5200000	2012/08/17	
MTG	CTCP MT GAS	Mtgas Jsc	HSX	Utilities	2008/12/31	11999995	2009/01/15	
MTH	Gỗ MDF VRG - Quảng Trị	Ha Dong Environment Public Service Jsc	UPC	Industrials	2011/02/10	1477750	2011/02/10	
MTP	Dược Medipharco - Tenamyd	Medipharco - Tenamyd Central Phamarceutical Jsc	UPC	Health Care	2010/09/23	3000000	2010/09/23	
NAG	CTCP Nagakawa Việt Nam	Nagakawa Viet Nam Jsc	HNX	Industrials	2009/09/22	14849578	2009/09/22	
NAV	CTCP Nam Việt	Nam Viet Jsc	HSX	Industrials	2006/11/30	8000000	2006/12/22	
NBB	CTCP Đầu tư Năm Bảy Bảy	Nbb Investment Corporation	HSX	Financials	2008/11/20	15400000	2009/02/18	
NBC	CTCP Than Núi Béo	Vinacomin - Nui Beo Coal Jsc	HNX	Basic Materials	2006/12/27	19999404	2006/12/27	
NBP	CTCP Nhiệt điện Ninh Bình	Ninh Binh Thermal Power Jsc	HNX	Utilities	2009/08/06	12865500	2009/08/06	
NBW	Cấp nước Nhà Bè	Nha Be Water Supply Jsc	UPC	Utilities	2010/05/04	10900000	2010/05/04	
ND2	Đầu tư và PT điện Miền Bắc 2	Northern Electricity Development & Investment Jsc No.2	UPC	Utilities	2010/07/22	19389650	2010/07/22	
NDC	Nam Dược	Nam Duoc Jsc	UPC	Health Care	2010/03/11	5680000	2010/03/11	
NDN	CTCP Đầu tư phát triển Nhà Đà Nẵng	Danang Housing Investment Development Jsc	HNX	Financials	2011/04/21	11546720	2011/04/21	
NET	CTCP Bột giặt NET	Net Detergent Jsc	HNX	Consumer Goods	2010/09/15	7999446	2010/09/15	
NGC	CTCP Chế biến Xuất khẩu Ngô Quyền	Ngo Quyen Export Seafood Processing Jsc	HNX	Consumer Goods	2008/03/06	1200000	2008/03/06	
NHA	Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội	Ha Noi South Housing And Urban Development Corporation	HNX	Industrials	2010/07/13	8835000	2010/07/13	
NHC	CTCP Gạch ngói Nhị Hiệp	Nhi Hiep Brick-Tile Co-Operation	HNX	Industrials	2005/12/16	1520771	2005/12/16	
NHN	CTCP Phát triển Đô thị Nam Hà Nội	HanoiSouthern City Development JSC	UPC	Financials	2011/11/10	200000000	2011/11/10	
NHS	CTCP Đường Ninh Hòa	Ninh Hoa Sugar Jsc	HSX	Consumer Goods	2010/06/25	10125000	2010/07/02	
NHW	CTCP Ngô Han	Ngo Han Jsc. 	HSX	Industrials	2010/01/12	22950627	2010/01/26	
NIS	CTCP Dịch vụ hạ tầng mạng	Network Infrastructure Services Jsc	HNX	Technology	2010/09/16	3000000	2010/09/16	
NKG	CTCP Thép Nam Kim	Nam Kim Steel Jsc	HSX	Basic Materials	2011/01/10	29900000	2011/01/14	
NLC	CTCP Thuỷ điện Nà Lơi	Naloi Hydropower Jsc	HNX	Utilities	2006/12/14	5000000	2006/12/14	
NNC	CTCP đá Núi Nhỏ	Nui Nho Co-Operation	HSX	Industrials	2010/06/10	8768175	2010/06/23	
NOS	Môi trường Đô thị Hà Đông	Northern Shipping Jsc	UPC	Industrials	2011/01/11	20056000	2011/01/11	
NPS	CTCP May Phú Thịnh, Nhà Bè	Phu Thinh - Nha Be Garment Jsc	HNX	Consumer Goods	2006/12/27	2170000	2006/12/27	
NSC	CTCP Giống cây trồng Trung Ương	National Seed Jsc	HSX	Consumer Goods	2006/12/01	8256161	2006/12/21	
NSN	CTCP Xây dựng 565	565 Construction – Jsc	HNX	Industrials	2010/05/20	2959314	2010/05/20	
NSP	Vận tải Biển Bắc	Sacom Plastic Corporation	UPC	Basic Materials	2011/01/19	5000000	2011/01/19	
NST	CTCP Ngân Sơn	Ngan Son Jsc	HNX	Consumer Goods	2006/12/29	6913133	2006/12/29	
NT2	Điện lực Nhơn Trạch 2	PetroVietnam Power NhonTrach 2 Jsc	UPC	Utilities	2010/01/22	256000000	2010/01/22	
NTB	CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584	Transport Engineering Construction & Business Investment Stock Company 584	HSX	Financials	2010/05/11	39779577	2010/05/17	
NTL	CTCP Phát triển Đô thị Từ Liêm	Tu Liem Urban Development Jsc	HSX	Financials	2007/12/06	63600000	2007/12/21	
NTP	CTCP Nhựa Thiếu niên Tiền Phong	Tien Phong Plastic Jsc	HNX	Industrials	2006/12/11	43337996	2006/12/11	
NVB	Ngân hàng TMCP Nam Việt	Nam Viet Commercial Joint Stock Bank	HNX	Banks	2010/09/13	301021552	2010/09/13	
NVC	CTCP Nam Vang	Nam Vang Jsc	HNX	Basic Materials	2008/01/24	16000000	2008/01/24	
NVN	CTCP Nhà Việt Nam	House Viet Nam Jsc 	HSX	Financials	2010/02/25	10656800	2010/03/30	
NVT	CTCP Bất Động sản Du lịch Ninh Vân Bay	Ninh Van Bay Real Estate Jsc	HSX	Financials	2010/04/28	60500000	2010/05/07	
OCH	CTCP Khách sạn và Dịch vụ Đại Dương	Ocean Hospitality & Service Jsc	HNX	Consumer Services	2010/10/01	100000000	2010/10/01	
OGC	CTCP Tập Đoàn Đại Dương	Ocean Group Jsc. 	HSX	Financials	2010/04/16	300000000	2010/05/04	
ONE	CTCP Truyền thông số 1	One Corporation	HNX	Technology	2008/06/25	5000000	2008/06/25	
OPC	CTCP Dược phẩm OPC	Opc Pharmaceutical Jsc	HSX	Health Care	2008/10/20	12856860	2008/10/30	
ORS	CTCP Chứng khoán Phương Đông	Orient Securities Corporation	HNX	Financials	2010/07/12	24000000	2010/07/12	
PAC	CTCP Pin Ắc quy Miền Nam	Dry Cell And Storage Battery Jsc 	HSX	Industrials	2006/11/09	26987843	2006/12/12	
PAN	CTCP Xuyên Thái Bình	Pan Pacific Corporation	HSX	Industrials	2006/12/22	11550000	2006/12/22	
PCG	CTCP Đầu tư Phát triển Gas Đô Thị	PetroVietnam Gas City Investment and Development JSC	HNX	Utilities	2010/12/29	18870000	2010/12/29	
PCT	CTCP Vận tải Dầu khí Cửu Long	Cuu Long Petro Gas Transportation Jsc	HNX	Industrials	2010/08/05	23000000	2011/09/12	
PDC	CTCP Du lịch Dầu khí Phương Đông	Phuong Dong Petroleum Tourism Jsc	HNX	Consumer Services	2009/09/29	15000000	2009/09/29	
PDN	CTCP Cảng Đồng Nai	Dong Nai Port Jsc	HSX	Industrials	2011/08/04	8231998	2011/10/26	
PDR	CTCP Phát triển Bất Động sản Phát Đạt	Phat Dat Real Estate Development Corp	HSX	Financials	2010/07/22	130200000	2010/07/30	
PEC	Cơ khí Điện lực	Power Engineering Jsc	UPC	Industrials	2010/10/06	2430000	2010/10/06	
PET	Tổng CTCP Dịch vụ Tổng hợp Dầu khí	Petrovietnam General Services Jsc	HSX	Consumer Services	2007/08/13	69842000	2007/09/12	
PFL	CTCP Dầu khí Đông Đô	Petro Vietnam Finance Land Jsc	HNX	Financials	2010/11/17	50000000	2010/11/17	
PFV	Đầu tư & TM PFV	Pfv Investment & Trading Jsc	UPC	Financials	2010/07/23	60000000	2010/07/23	
PGC	CTCP Gas Petrolimex	Petrolimex Gas Jsc	HSX	Utilities	2006/10/20	34446699	2006/11/24	
PGD	CTCP Phân phối Khí thấp Áp Dầu khí Việt Nam	PetroVietNam Low Pressure Gas Distribution Jsc	HSX	Utilities	2009/11/19	42900000	2009/11/26	
PGI	CTCP Bảo hiểm PJICO	Petrolimex Jsc	HSX	Financials	2011/06/08	70974218	2011/07/22	
PGS	CTCP Kinh doanh Khí hoá Lỏng miền Nam	PetroVietNam Southern Gas Jsc	HNX	Utilities	2007/11/15	38000000	2007/11/15	
PGT	CTCP Taxi Gas Sài Gòn Petrolimex	Saigon Petrolimex Gas Taxi Jsc	HNX	Consumer Services	2009/12/25	9241801	2009/12/25	
PHC	CTCP Xây dựng Phục Hưng Holdings	Constrexim - Phuc Hung Investment Construction And Import - Export Jsc	HNX	Industrials	2009/11/05	10939977	2009/11/05	
PHH	CTCP Hồng Hà Dầu khí	Hong Ha Petroleum Jsc	HNX	Industrials	2010/03/17	20000000	2010/03/17	
PHR	CTCP Cao su Phước Hòa	Phuoc Hoa Rubber Jsc	HSX	Basic Materials	2009/08/04	81300000	2009/08/18	
PHS	CTCP Chứng khoán Phú Hưng	Fortunes Securities Corporation	HNX	Financials	2010/06/09	30000000	2010/06/09	
PHT	CTCP Sản xuất và Thương mại Phúc Tiến	Phuc Tien Trade Manufacture Jsc	HSX	Basic Materials	2009/09/18	19999993	2009/09/28	
PIT	CTCP Xuất nhập khẩu PETROLIMEX	Petrolimex International Trading Jsc	HSX	Consumer Services	2008/01/09	12831455	2008/01/24	
PIV	CTCP PIV	Piv Petro Investment And Valuation Jsc	HNX	Financials	2010/08/18	1200000	2010/08/18	
PJC	CTCP Thương mại và Vận tải Petrolimex Hà Nội	Petrolimex Hanoi Transportation And Trading Jsc	HNX	Industrials	2006/12/25	3126300	2006/12/25	
PJS	CTCP Cấp nước Phú Hòa Tân	Phu Hoa Tan Water Supply JSC	UPC	Utilities	2011/12/05	9000000	2011/12/05	
PJT	CTCP Vận tải Xăng dầu Đường thủy Petrolimex	Petrolimex Joint Stock Tanker Company	HSX	Industrials	2006/12/11	8400000	2006/12/28	
PLC	CTCP Hoá dầu Petrolimex	Petrolimex Petrochemical Jsc	HNX	Basic Materials	2006/12/27	60239378	2006/12/27	
PMC	CTCP Dược phẩm Dược liệu Pharmedic	Pharmedic Pharmaceutical Medicinal Jsc	HNX	Health Care	2009/10/09	6481634	2009/10/09	
PMS	CTCP Cơ khí Xăng Dầu	Petroleum Mechanical Stock Company	HNX	Industrials	2003/11/04	7227662	2003/11/04	
PMT	Vật liệu Bưu điện	Postal Material Jsc	UPC	Technology	2010/07/22	5000000	2010/07/22	
PNC	CTCP Văn Hóa Phương Nam	Phuong Nam Cultural JCC 	HSX	Consumer Services	2005/06/21	10058906	2005/07/11	
PNJ	CTCP Vàng bạc Đá quý Phú Nhuận	Phu Nhuạn Jewelry Jsc	HSX	Consumer Goods	2008/12/26	71997835	2009/03/23	
POM	CTCP Thép Pomina	Pomina Steel Corporation	HSX	Basic Materials	2010/04/07	187449951	2010/04/20	
POT	CTCP Thiết bị Bưu điện	Post And Telecommunication Equipment Jsc	HNX	Technology	2006/12/20	19430006	2006/12/20	
POV	PV Oil Vũng Áng	Vung Ang Petroleum Jsc	UPC	Utilities	2010/09/23	10000000	2010/09/23	
PPC	CTCP Nhiệt điện Phả Lại	Pha Lai Thermal Power Jsc	HSX	Utilities	2006/05/19	326235000	2006/05/19	
PPE	CTCP Tư vấn Điện lực Dầu khí Việt Nam	Petrovietnam Power Engineering Consulting Jsc	HNX	Industrials	2011/09/21	2000000	2011/09/21	
PPG	CTCP Sản xuất Thương mại Dịch vụ Phú Phong	Phu Phong Corporation	HNX	Industrials	2006/12/20	7342500	2006/12/20	
PPI	CTCP Phát triển hạ tầng & Bất động sản Thái Bình Dương	Pacific Property And Infrastructure Development And Investment Jsc	HSX	Financials	2010/04/02	12216733	2010/04/12	
PPP	CTCP Dược phẩm Phong Phú	Phong Phu Pharmaceutial Jsc	HNX	Health Care	2009/06/24	2335500	2009/06/24	
PPS	CTCP Điện lực Kỹ thuật Dầu khí Việt Nam	Petrovietnam Power Services Jsc	HNX	Industrials	2011/01/07	15000000	2011/01/07	
PRC	CTCP Portserco	Portserco Jsc	HNX	Industrials	2010/11/29	1200000	2010/11/29	
PSB	Sao Mai Bến Đình	Sao Mai - Ben Dinh Petroleum Investment Jsc	UPC	Industrials	2010/02/25	50000000	2010/02/25	
PSC	CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn	Petrolimex Saigon Transportation And Service Jsc	HNX	Industrials	2006/12/29	4800000	2006/12/29	
PSG	CTCP Đầu tư và Xây lắp Dầu khí Sài Gòn	Sai Gon Petroleum Construction And Investment Jsc	HNX	Industrials	2011/03/15	35000000	2011/03/15	
PSI	CTCP Chứng khoán Dầu khí	PetroVietnam Securities Incorporated	HNX	Financials	2010/07/20	59841300	2010/07/21	
PSL	Chăn nuôi Phú Sơn	Phu Son Livestock Jsc	UPC	Consumer Goods	2010/05/17	4500000	2010/05/17	
PSP	Cảng Đình Vũ	Dinh Vu Petroleum Service Port Jsc	UPC	Industrials	2009/11/10	22500000	2009/11/10	
PTB	CTCP Phú Tài	Phu Tai Jsc	HSX	Industrials	2011/05/20	12000646	2011/07/22	
PTC	CTCP Đầu tư và Xây dựng Bưu Điện	Post And Telecommunications Investment And Construction Jsc	HSX	Industrials	2006/12/25	10000000	2006/12/25	
PTD	Thiết kế - XD - TM Phúc Thịnh	Phuc Thinh Design Construction Trading Corporation	UPC	Industrials	2011/01/14	1000000	2011/01/14	
PTG	May Phan Thiết	Phan Thiet Gamex Export Jsc	UPC	Consumer Goods	2010/01/04	3069590	2010/01/04	
PTH	Vận tải và DV Petrolimex Hà Tây	Ha Tay Petrolimex Transportation And Services Jsc	UPC	Utilities	2010/03/23	1600000	2010/03/23	
PTI	Tổng CTCP Bảo hiểm Bưu điện	Post - Telecommunication Joint - Stock Insurance Corporation	HNX	Financials	2011/03/02	50395709	2011/03/02	
PTL	CTCP đầu tư hạ tầng và đô thị dầu khí PVC	Petro Capital and infrastructure Investment Jsc	HSX	Financials	2010/09/15	100000000	2010/09/22	
PTM	CTCP SẢN XUẤT, THƯƠNG MẠI VÀ DỊCH VỤ Ô TÔ PTM	The Precision Tools And Cnc Machine Jsc	HNX	Industrials	2009/01/16	4200000	2009/01/16	
PTP	Viễn Thông và In Bưu điện	Post Printing & Telecomunication Services Jsc	UPC	Consumer Services	2009/12/10	6800000	2009/12/10	
PTS	CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng	Haiphong Petrolimex Transportation And Services Jsc	HNX	Industrials	2006/12/01	5568000	2006/12/01	
PTT	Vận tải Dầu khí Đông Dương	Indochina Petroleum Transportation Jsc	UPC	Industrials	2010/04/29	10000000	2010/04/29	
PV2	CTCP Đầu tư PV2	Pvi Investment And Development Jsc	HNX	Financials	2010/12/16	37350000	2010/12/16	
PVA	CTCP Tổng Công ty Xây lắp Dầu khí Nghệ An	Petrovietnam Nghe An Construction Jsc	HNX	Industrials	2008/12/03	21846000	2008/12/12	
PVC	Tổng CT Dung dịch Khoan và Hoá phẩm Dầu khí - CTCP	Drilling Mud Corp	HNX	Oil & Gas	2007/11/15	35000000	2007/11/15	
PVD	Tổng CTCP Khoan và Dịch vụ Khoan Dầu khí	Petrovietnam Drilling & Well Services Jsc	HSX	Oil & Gas	2006/11/15	210508215	2006/12/05	
PVE	Tổng công ty Tư vấn Thiết kế Dầu khí- CTCP	Petrovietnam Investment Consultancy and Engineering Jsc	HNX	Oil & Gas	2008/01/02	25000000	2008/01/02	
PVF	Tổng Công ty Tài chính Cổ phần Dầu khí Việt Nam	Petrovietnam Finance Jsc	HSX	Financials	2008/10/16	600000000	2008/11/03	
PVG	CTCP Kinh doanh Khí hoá lỏng Miền Bắc	Petrovietnam Northern Gas Jsc	HNX	Utilities	2009/01/07	27719850	2009/01/07	
PVI	CTCP PVI	PVI Holdings	HNX	Financials	2007/08/10	234241867	2007/08/10	
PVL	CTCP Địa ốc Dầu khí	Petrovietnam Power Land Jsc	HNX	Financials	2010/04/15	50000000	2010/04/15	
PVR	Công ty CP Kinh doanh Dịch vụ cao cấp Dầu khí Việt Nam	PetroVietnam Premier Recreation Jsc	HNX	Financials	2010/06/21	53100913	2010/06/21	
PVS	Tổng CTCP Dịch vụ Kỹ thuật Dầu khí Việt Nam	Petrovietnam Technical Services Corp	HNX	Oil & Gas	2007/09/20	297802094	2007/09/20	
PVT	Tổng CTCP Vận tải Dầu khí	Petrovietnam Transportation Corp	HSX	Industrials	2007/11/27	232600000	2007/12/10	
PVV	CTCP Đầu tư Xây dựng Vinaconex - PVC	Vinaconex - Pvc Construction Investment Jsc	HNX	Industrials	2010/09/09	30000000	2010/09/09	
PVX	Tổng CTCP Xây lắp Dầu khí Việt Nam	Petrovietnam Construction Jsc	HNX	Industrials	2009/08/19	400000000	2009/08/19	
PX1	Xi măng Dầu khí 12/9	Petrovietnam Cement 12/9 Jsc	UPC	Industrials	2010/12/01	20000000	2010/12/01	
PXA	CTCP Đầu tư & Thương mại Dầu khí Nghệ An	Petrovietnam - Nghe An Investment & Trading Jsc	HNX	Financials	2011/02/22	15000000	2011/02/22	
PXI	CTCP Xây dựng công nghiệp & dân dụng dầu khí	Petroleum Industrial and Civil Construction Jsc	HSX	Industrials	2010/06/07	30000000	2010/06/21	
PXL	CTCP đầu tư Xây dựng Thương mại dầu khí – Idico	Petrovietnam – Idico Long Son Industrial Park Investment Jsc 	HSX	Financials	2010/11/12	82722212	2010/12/09	
PXM	CTCP Xây lắp Dầu khí Miền Trung	Mientrung Petroleum Construction Jsc	HSX	Industrials	2010/06/10	15000000	2010/06/21	
PXS	CTCP Kết cấu Kim loại và Lắp máy Dầu khí	Petroleum Equipment Assembly and Metal Structure Jsc	HSX	Industrials	2010/05/27	37518001	2010/06/02	
PXT	CTCP Xây lắp Đường ống Bể chứa Dầu khí	Petroleum Pipeline and Tank Construction Jsc	HSX	Industrials	2010/05/24	20000000	2010/06/01	
QCC	CTCP Xây lắp và Phát triển Dịch vụ Bưu điện Quảng Nam	Quangnam Post – Telecoms Construction And Services Corporation	HNX	Industrials	2010/10/06	1500000	2010/10/06	
QCG	CTCP Quốc Cường Gia Lai	Quoc Cuong Gia Lai Jsc	HSX	Financials	2010/07/27	127076862	2010/08/09	
QHD	CTCP Que hàn Điện Việt Đức	Viet- Duc Welding Electrode Jsc	HNX	Industrials	2010/04/22	4249901	2010/04/22	
QNC	CTCP Xi măng và Xây dựng Quảng Ninh	Quang Ninh Construction And Cement Jsc	HNX	Industrials	2008/01/17	18451109	2008/01/17	
QST	CTCP Sách và Thiết bị Trường học Quảng Ninh	Quang Ninh Book And Educational Equipment Jsc	HNX	Consumer Services	2009/02/16	1350000	2009/02/16	
QTC	CTCP Công trình Giao thông Vận tải Quảng Nam	Quang Nam Transportation Construction Jsc	HNX	Industrials	2009/01/16	1200000	2009/01/16	
RAL	CTCP Bóng đèn Phích nước Rạng Đông	Rangdong Light Source And Vacuum Flask Jsc	HSX	Consumer Goods	2006/10/23	11500000	2006/12/06	
RCL	CTCP Địa ốc Chợ Lớn	Cholon Real Estate Jsc	HNX	Financials	2007/06/14	4499763	2007/06/14	
RDP	CTCP Nhựa Rạng Đông	Rangdong Plastic Jsc	HSX	Basic Materials	2009/08/21	11500000	2009/09/22	
REE	CTCP Cơ điện lạnh	Refrigeration Electrical Engineering Corporation 	HSX	Industrials	2000/07/18	236643385	2000/07/28	
REM	VINAREMON	Viet Nam Jsc For Restoration Of Monuments & Cultural Equipment	UPC	Industrials	2010/02/22	1148600	2010/02/22	
RHC	CTCP Thuỷ điện Ry Ninh II	Ry Ninh Ii Hydroelectric Jsc	HNX	Utilities	2006/06/15	5120000	2006/06/15	
RIC	CTCP Quốc tế Hoàng Gia	Royal International Corporation	HSX	Consumer Services	2007/07/23	19362733	2007/07/31	
S12	CTCP Sông Đà 12	Song Da 12 Jsc	HNX	Industrials	2008/01/16	5000000	2008/01/16	
S27	CTCP Sông Đà 27	Song Da 27 Jsc	HNX	Industrials	2010/09/16	1572833	2010/09/16	
S33	Mía đường 333	The 333 Sugar Jsc	UPC	Consumer Goods	2010/12/29	5554311	2010/12/29	
S55	CTCP Sông Đà 505	Song Da 5.05 Jsc	HNX	Industrials	2006/12/22	2496000	2006/12/22	
S64	Cty CP Sông Đà 6.04	Song Da 6.04 Jsc	HNX	Industrials	2006/12/25	2000000	2006/12/25	
S74	CTCP Sông Đà 7.04	Song Da 7.04 Jsc	HNX	Industrials	2009/07/02	6000000	2009/07/02	
S91	CTC Sông Đà 9.01	Song Da 9.01 Jsc	HNX	Industrials	2006/12/20	2940000	2006/12/20	
S96	CTCP Sông Đà 9.06	Song Da No 9.06 Jsc	HNX	Industrials	2008/01/09	11155532	2008/01/09	
S99	CTCP Sông Đà 9.09	Song Da No 9.09 Jsc	HNX	Industrials	2006/12/22	12496929	2006/12/22	
SAF	CTCP Lương thực Thực phẩm SAFOCO	Safoco Foodstuff Jsc	HNX	Consumer Goods	2006/12/28	4545777	2006/12/28	
SAM	CTCP Đầu tư và Phát triển Sacom	Sacom Development And Investment Corporation 	HSX	Technology	2000/07/18	130798432	2000/07/28	
SAP	CTCP In sách Giáo khoa tại Tp.Hồ Chí Minh	Textbook Printing Jsc In Hochiminh City	HNX	Consumer Services	2006/12/14	1286984	2006/12/14	
SAV	CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex	Savimex Corporation	HSX	Industrials	2002/04/26	9963450	2002/05/09	
SBA	CTCP Sông Ba	Song Ba Jsc. 	HSX	Utilities	2010/04/28	50000000	2010/06/01	
SBC	CTCP Vận tải và Giao nhận Bia Sài Gòn	Saigon Beer Transportation Jsc	HSX	Industrials	2010/04/29	8000000	2010/06/02	
SBS	CTCP Chứng khoán Ngân hàng Sài Gòn Thương Tín	Sacombank Securities Jsc	HSX	Financials	2010/06/28	126660000	2010/07/05	
SBT	CTCP Bourbon Tây Ninh	Société De Bourbon Tay Ninh	HSX	Consumer Goods	2008/02/25	141905800	2008/02/25	
SC5	CTCP Xây dựng số 5	Construction Jsc No 5	HSX	Industrials	2007/04/10	13622364	2007/10/18	
SCC	CTCP Xi măng Sông Đà	Songda Cement Jsc	HNX	Industrials	2006/12/20	1980000	2006/12/20	
SCD	CTCP Nước giải khát Chương Dương	Chuong Duong Beverages Jsc	HSX	Consumer Goods	2006/11/12	8500000	2006/12/25	
SCJ	CTCP Xi măng Sài Sơn	Sai Son Cement Jsc	HNX	Industrials	2007/09/19	9758000	2007/09/19	
SCL	CTCP Sông Đà Cao Cường	Song Da Cao Cuong, Jsc	HNX	Industrials	2010/09/15	9000000	2010/09/15	
SCO	Công nghiệp Thủy Sản	Seaproducts Mechanical Shareholding Company	UPC	Industrials	2010/09/17	4200000	2010/09/17	
SCR	CTCP Địa Ốc Sài Gòn Thương Tín	Sai Gon Thuong Tin Real Estate Jsc	HNX	Financials	2010/11/09	142999861	2010/11/09	
SD1	CTCP Sông Đà 1	Song Da No 1 Jsc	HNX	Industrials	2010/07/23	5000000	2010/07/23	
SD2	CTCP Sông Đà 2	Song Da No 2 Jsc	HNX	Industrials	2007/11/30	12000000	2007/11/30	
SD3	CTCP Sông Đà 3	Song Da No 3 Jsc	HNX	Industrials	2006/12/25	15999356	2006/12/25	
SD4	CTCP Sông Đà 4	Song Da 4 Jsc	HNX	Industrials	2008/06/25	10300000	2008/06/25	
SD5	CTCP Sông Đà 5	Song Da No 5 Jsc	HNX	Industrials	2006/12/27	9000000	2006/12/27	
SD6	CTCP Sông Đà 6	Song Da No 6 Jsc	HNX	Industrials	2006/12/25	19223711	2006/12/25	
SD7	CTCP Sông Đà 7	Song Da No 7 Jsc	HNX	Industrials	2006/12/27	9000000	2006/12/27	
SD8	CTCP Sông Đà 8	Song Da 8 Jsc	HNX	Industrials	2008/11/28	2800000	2008/11/28	
SD9	CTCP Sông Đà 9	Song Da No 9 Jsc	HNX	Industrials	2006/12/20	29250000	2006/12/20	
SDA	CTCP SIMCO Sông Đà	Song Da Simco Jsc	HNX	Industrials	2006/12/21	13103426	2006/12/21	
SDB	CTCP Sông Đà 207	Song Da 207 Jsc	HNX	Industrials	2010/03/10	11000000	2010/03/10	
SDC	CTCP Tư vấn Sông Đà	Song Da Consulting Jsc	HNX	Industrials	2006/12/25	2609710	2006/12/25	
SDD	CTCP Đầu tư và Xây lắp Sông Đà	Song Da Assembly Construction & Investment Jsc	HNX	Industrials	2008/01/23	16007685	2008/01/23	
SDE	CTCP Kỹ thuật điện Sông Đà	Song Da Electrical Engineering Jsc	HNX	Industrials	2010/03/23	1751095	2010/03/23	
SDG	CTCP Sadico Cần Thơ	Can Tho Sadico JCC	HNX	Industrials	2009/12/22	6499997	2009/12/22	
SDH	CTCP Xây dựng Hạ tầng Sông Đà	Song Da Infrastructure Construction Jsc	HNX	Industrials	2009/10/19	20950000	2009/10/19	
SDI	Nhựa Sam Phú	Sai Dong Urban Development And Investment Jsc	UPC	Financials	2011/06/16	119995800	2011/06/16	
SDJ	CTCP Sông Đà 25	Song Da 25 Jsc	HNX	Industrials	2007/12/25	4343700	2007/12/25	
SDK	Cơ khí Luyện Kim	Machanical Engineering & Metallurgy Jsc	UPC	Industrials	2010/10/28	2600000	2010/10/28	
SDN	CTCP Sơn Đồng Nai	Dong Nai Paint Corporation	HNX	Industrials	2006/12/18	1518218	2006/12/25	
SDP	CTCP Đầu tư và Thương mại Dầu khí Sông Đà	Song Da Trading And Transport Jsc	HNX	Industrials	2009/04/15	11114472	2009/04/15	
SDS	CTCP Xây lắp và Đầu tư Sông Đà	Song Da Construction And Investment Jsc	HNX	Industrials	2008/07/23	2800000	2008/07/23	
SDT	Cty CP Sông Đà 10	Song Da No 10 Jsc	HNX	Industrials	2006/12/14	21060000	2006/12/14	
SDU	CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà	Song Da Urban Investment Construction And Development Jsc	HNX	Industrials	2009/09/28	20000000	2009/09/28	
SDV	CTCP Dịch vụ Sonadezi	Sonadezi Service Jsc	UPC	Industrials	2011/04/22	5000000	2010/04/22	
SDY	CTCP Xi măng Sông Đà Yaly	Song Da Yaly Cement Jsc	HNX	Industrials	2006/12/25	4500000	2006/12/25	
SEB	CTCP Đầu tư và Phát triển Điện miền Trung	Mien Trung Power Investment And Development Jsc	HNX	Utilities	2009/01/14	12500000	2009/01/14	
SEC	CTCP Mía đường Nhiệt điện Gia Lai	Gia Lai Cane Sugar Thermoelectricity Jsc	HSX	Consumer Goods	2009/12/23	17406580	2010/01/06	
SED	CTCP Đầu tư và Phát triển Giáo dục Phương Nam	Phuong Nam Education Investment And Development Jsc	HNX	Consumer Services	2009/08/19	8000000	2009/08/19	
SEL	CTCP Sông Đà 11 – Thăng Long	Song Da 11 – Thang Long Jsc	HNX	Industrials	2010/09/16	5000000	2010/09/16	
SFC	CTCP Nhiên liệu Sài Gòn	Sai Gon Fuel Company	HSX	Utilities	2004/06/16	10270378	2004/09/21	
SFI	CTCP Đại lý Vận tải Safi	Sea & Air Freight International	HSX	Industrials	2006/12/08	8289981	2006/12/29	
SFN	CTCP Dệt lưới Sài Gòn	Saigon Fishing Net Jsc	HNX	Industrials	2006/12/28	3000000	2006/12/28	
SGC	CTCP Xuất nhập Khẩu Sa Giang	Sa Giang Import Export Corporation	HNX	Consumer Goods	2006/09/05	7147580	2006/09/05	
